totalLength,Total Length
billLength,Bill Length
billLengthShield,Bill Length + Shield
billWidth,Bill Width
weight,Weight
lifeStage,Life Stage
overstoreyHeight,Overstorey Height
cover,Cover
canopyCover,Canopy Cover
phenology,Phenology
stratum,Stratum
lifeForm,Life Form
basalArea,Basal Area
basalAreaFactor,Basal Area Factor
basalAreaCount,Basal Area Count
age,Age
biomass,Biomass
growthForm,Growth Form
height,Height
boleHeight,Bole Height
heightOfBreak,Height of Break
dominance,Dominance
averageHeight,Average Height
lifeStage,Life Stage
